SERIALNO,AGE,WRKLYR,INCTOT
0072160,47,1,13830
0072245,52,1,29300
0072301,41,1,18000
0072656,34,1,10000
0072656,30,1,10000
0072656,5,0,NA
0072656,0,0,NA
0072656,38,1,12000
0072656,41,1,12000
0072714,24,1,23000
0072714,33,2,0
0072714,1,0,NA
0072714,18,2,0
0072867,53,1,10600
0072867,43,1,4100
0072867,78,2,18700
0073232,37,1,40000
0073232,24,1,17000
0073232,22,1,7000
0073232,25,1,17740
0073323,53,1,117000
0073323,51,2,0
0073323,25,1,21000
0073323,23,2,0
0073323,31,1,27000
0073429,46,1,31000
0073429,48,1,17900
0073549,44,1,6400
0073741,38,1,279000
0073902,31,1,65000
0073902,31,1,16300
0073902,10,0,NA
0073902,9,0,NA
0073902,9,0,NA
0074159,60,2,420
0074159,31,1,7900
0074159,3,0,NA
0074355,45,1,50000
0074355,32,1,30000
0074396,76,2,61400
0074396,76,2,34900
0074486,18,1,2800
0074506,78,2,0
0074519,63,1,149800
0074545,38,1,4400
0074545,41,1,32000
0074545,12,0,NA
0074545,9,0,NA
0074658,30,1,38300
0074658,29,1,19100
0075372,56,1,25900
0075387,51,1,23200
0075387,15,0,0
0075581,46,1,70200
0075581,45,1,75200
0075581,7,0,NA
0075588,34,1,23000
0075600,41,1,94000
0075600,37,1,12000
0075600,9,0,NA
0075600,4,0,NA
0075790,34,1,37280
0075790,33,2,0
0075790,15,0,0
0075790,10,0,NA
0076014,28,1,7300
0076014,4,0,NA
0076014,9,0,NA
0076014,8,0,NA
0076014,26,1,3900
0076268,50,1,70600
0076268,49,1,30600
0076398,59,1,45800
0076398,58,1,28530
0076419,37,1,14900
0076693,51,1,16700
0076693,52,2,0
0076890,61,1,25600
0076941,39,1,20000
0076941,42,1,35000
0076941,6,0,NA
0076941,3,0,NA
0076941,0,0,NA
0077134,70,2,12400
0077134,62,2,490
0077145,48,1,13730
0077148,58,1,13540
0077452,39,1,21000
0077452,13,0,NA
0077452,11,0,NA
0077452,10,0,NA
0077452,7,0,NA
0077452,27,1,16500
0077475,39,1,50000
0077475,34,1,55000
0077475,6,0,NA
0077475,3,0,NA
0077531,53,1,8100
0077531,53,1,75000
0077531,17,1,1600
0077831,63,1,8000
0077831,52,1,45500
0078254,69,2,55100
0078254,60,2,0
0078355,25,2,0
0078452,93,2,9800
0078493,93,2,12000
0078493,88,2,3700
0078828,41,1,81000
0078828,35,1,36000
0078828,9,0,NA
0078828,7,0,NA
0078872,37,1,46600
0078872,35,1,24000
0078872,4,0,NA
0078872,3,0,NA
0078872,14,0,NA
0079057,73,2,38800
0079057,66,2,10800
0079470,49,1,41200
0079470,47,1,43000
0079470,18,2,0
0079470,15,0,290
0079593,52,1,36780
